model,lmbda,rho,alpha,dobs,seed,X_rmse,Y_rmse,Z_rmse
magi,,28.0,0.0005,20,56,0.5637202847214597,0.8609409650592432,1.04922185534037
magi,,28.0,0.0005,20,57,0.7549980535996668,1.1491313910471002,1.407010652926985
magi,,28.0,0.0005,20,58,0.418842725590876,0.642859035468922,0.7829918322631967
magi,,28.0,0.0005,20,59,0.37531678843217436,0.5654246769351612,0.7035868126126333
magi,,28.0,0.0005,20,6,0.1565263179873644,0.21698338298583478,0.27506478998007483
magi,,28.0,0.0005,20,60,0.41623542963762494,0.6404912867484077,0.7737682764752902
magi,,28.0,0.0005,20,61,0.37543758096072427,0.5706921022899236,0.7027042769671071
magi,,28.0,0.0005,20,62,0.3887701541642098,0.5865877949484951,0.7297205365930035
magi,,28.0,0.0005,20,63,0.32284954767059665,0.4857323632228256,0.6026484672417696
magi,,28.0,0.0005,20,64,0.46759316682136703,0.7175163173860767,0.8752576439054166
magi,,28.0,0.0005,20,65,0.7113258542464261,1.0895286965443076,1.3210043246878975
magi,,28.0,0.0005,20,66,0.3420370653877172,0.5187318514665618,0.6393534255551587
magi,,28.0,0.0005,20,67,0.6822226764945407,1.0439053209625662,1.2680607015728131
magi,,28.0,0.0005,20,68,0.7542435980472443,1.1544777490175064,1.3997883982747525
magi,,28.0,0.0005,20,69,0.3385289077723144,0.5213227604419356,0.6347565814841346
magi,,28.0,0.0005,20,7,0.4179973829940839,0.6355130551627143,0.7821956021863222
magi,,28.0,0.0005,20,70,0.5565231905750064,0.855117466233045,1.0363796255971367
magi,,28.0,0.0005,20,71,0.29309749817686803,0.44741714466185994,0.5504686349001826
magi,,28.0,0.0005,20,72,0.6400712555766204,0.981911750723571,1.1942649843691273
magi,,28.0,0.0005,20,73,0.8264921997414412,1.2624906573325283,1.530542273286655
magi,,28.0,0.0005,20,74,0.41970122751061917,0.6403936845642796,0.7867623830091988
magi,,28.0,0.0005,20,75,0.3644457866366014,0.5543017427250663,0.6793409792709147
magi,,28.0,0.0005,20,76,0.3607744803062479,0.551577017258806,0.6731002109759066
magi,,28.0,0.0005,20,77,0.4179980074085532,0.6378011128282529,0.7833015434341739
magi,,28.0,0.0005,20,78,0.733086768402934,1.1183429785974004,1.360082524861422
magi,,28.0,0.0005,20,79,0.6301699040614097,0.9648372547889498,1.1735826425951832
magi,,28.0,0.0005,20,8,0.18961815602873758,0.2611782605076094,0.34111501854344184
magi,,28.0,0.0005,20,80,0.5749511906365005,0.8815679636761468,1.069810889590472
magi,,28.0,0.0005,20,81,0.1482004517135662,0.1999834864912953,0.254423133055372
magi,,28.0,0.0005,20,82,0.44896093228646133,0.6906277093072266,0.8392103658933652
magi,,28.0,0.0005,20,83,0.14319709619655327,0.20761816000938602,0.2541584343169736
magi,,28.0,0.0005,20,84,0.49217416439232253,0.7537108295833606,0.9172163178887519
magi,,28.0,0.0005,20,85,0.3976210367561798,0.6069525009521953,0.743425333233547
magi,,28.0,0.0005,20,86,0.26033815791932197,0.3881538850838487,0.48176208249850144
magi,,28.0,0.0005,20,87,0.2864273139007162,0.43790118015196816,0.5351262914620846
magi,,28.0,0.0005,20,88,0.6358946444558563,0.9761212377080966,1.180486458895763
magi,,28.0,0.0005,20,89,0.37264998609470806,0.5708554885072814,0.7002061787269673
magi,,28.0,0.0005,20,9,0.6466147114926585,0.9908676183394439,1.2028942494982495
magi,,28.0,0.0005,20,90,0.7066272036297968,1.0837169762751213,1.3161134344892664
magi,,28.0,0.0005,20,91,0.3316631888573412,0.5043171839389314,0.6175438134207852
magi,,28.0,0.0005,20,92,0.3698698007871865,0.5723066569237959,0.6923441639669177
magi,,28.0,0.0005,20,93,0.32664732717858397,0.49277275760273076,0.6094737307364922
magi,,28.0,0.0005,20,94,0.16267617413005353,0.21522536925361388,0.2697627970981522
magi,,28.0,0.0005,20,95,0.20197024442934963,0.28930385894120614,0.36391630130944014
magi,,28.0,0.0005,20,96,0.7838179150338288,1.197548737414836,1.4575972040193539
magi,,28.0,0.0005,20,97,0.388591022026853,0.5963644795753934,0.7259480031547839
magi,,28.0,0.0005,20,98,0.4514435388581765,0.6930197800696118,0.8435911535399848
magi,,28.0,0.0005,20,99,0.8601990143669921,1.3055171154542438,1.596734872345676
pinn,0.1,23.0,0.0005,20,0,6.542806733587074,7.235444081812626,7.890209842630449
pinn,0.1,23.0,0.0005,20,1,6.540133709093788,6.375791672452209,7.889369078172244
pinn,0.1,23.0,0.0005,20,10,6.544241325980321,7.837942022845197,7.879833909803556
pinn,0.1,23.0,0.0005,20,11,6.518801203926641,6.3559954060335855,7.871345051148759
pinn,0.1,23.0,0.0005,20,12,6.544076470465784,7.862256808417135,7.882645542402449
pinn,0.1,23.0,0.0005,20,13,6.540019369277542,6.683653600749064,7.910301911313
pinn,0.1,23.0,0.0005,20,14,6.539925372546668,6.733941301450025,7.893699706466394
pinn,0.1,23.0,0.0005,20,15,6.543830204679564,7.517465910493249,7.890248207734852
pinn,0.1,23.0,0.0005,20,16,6.549685438451992,8.94137328641824,7.886555398977296
pinn,0.1,23.0,0.0005,20,17,6.547625010169719,8.986105967045633,7.892517257772559
pinn,0.1,23.0,0.0005,20,18,6.542102694642022,7.17458695060297,7.887753729497128
pinn,0.1,23.0,0.0005,20,19,6.543588618047949,7.6415478369702186,7.884273956291671
pinn,0.1,23.0,0.0005,20,2,6.545085592484067,7.4950819365753265,7.887830406021211
pinn,0.1,23.0,0.0005,20,20,6.54370343066623,7.843896879969436,7.885249674614726
pinn,0.1,23.0,0.0005,20,21,6.553296854395933,8.449755031572815,7.872385601331597
pinn,0.1,23.0,0.0005,20,22,6.546567423244058,8.701131599325045,7.883859889731186
