model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,10.0,23.0,0.05,10,10,2.453743425104356,3.919802825375249,3.4727063417527613
pinn,100.0,23.0,0.05,10,10,14.086250173036563,31.203630882946264,32.30492109363567
pinn,1000.0,23.0,0.05,10,10,16.829894038763147,19.45272748386329,18.9764139647883
magi,,23.0,0.05,10,11,0.6140193361119928,2.1706979373776387,2.2658730621609853
pinn,0.1,23.0,0.05,10,11,0.19928502352009855,0.20217911017212395,0.3190580825257848
pinn,1.0,23.0,0.05,10,11,1.5234024080381037,1.8875237007992827,2.631749781311475
pinn,10.0,23.0,0.05,10,11,5.022229397181392,4.823328069759324,5.7682862892352755
pinn,100.0,23.0,0.05,10,11,8.97144009108177,8.93486384112946,8.86009701624077
pinn,1000.0,23.0,0.05,10,11,21.522985199535814,24.097298225500822,20.65350040872514
magi,,23.0,0.05,10,12,0.5299348631615377,2.058962152194911,1.8475938337304014
pinn,0.1,23.0,0.05,10,12,0.22164057621133892,0.55525796797247,0.5378122305294174
pinn,1.0,23.0,0.05,10,12,1.5963033953363612,1.8628271507436513,2.3658007175304605
pinn,10.0,23.0,0.05,10,12,2.8179863801527474,3.847856989017644,3.1883192156012488
pinn,100.0,23.0,0.05,10,12,8.68773128251226,8.483516171615832,7.379520758678969
pinn,1000.0,23.0,0.05,10,12,20.032559584934273,22.353620039585223,17.26615682867387
magi,,23.0,0.05,10,13,0.7099401440903381,2.240498831885317,1.7294448789568817
pinn,0.1,23.0,0.05,10,13,0.32056877066548234,0.206991714410721,0.20991438652026082
pinn,1.0,23.0,0.05,10,13,0.9532139513372696,1.6774105032516544,1.1027615450439199
pinn,10.0,23.0,0.05,10,13,3.2094025518586986,3.0215641641426627,3.12955574881641
pinn,100.0,23.0,0.05,10,13,8.784166167614087,9.976473780077185,11.092903714051022
pinn,1000.0,23.0,0.05,10,13,18.955716786594873,16.682990595649546,21.1005148888231
magi,,23.0,0.05,10,14,0.5620030946753808,1.239393951786659,2.20921980057627
pinn,0.1,23.0,0.05,10,14,0.25855703058842155,0.4791437284508302,0.4063644226220939
pinn,1.0,23.0,0.05,10,14,0.9213418969176472,0.734901921437787,1.0347103750405409
pinn,10.0,23.0,0.05,10,14,3.6395852273050573,4.789972658379484,4.665538608908126
pinn,100.0,23.0,0.05,10,14,7.304897136164387,7.024656306266687,6.830264929439503
pinn,1000.0,23.0,0.05,10,14,18.759522855007443,22.419044174449372,21.581181468314615
magi,,23.0,0.05,10,15,0.4649583647898468,1.2891122935183432,2.223341610589371
pinn,0.1,23.0,0.05,10,15,0.3585425437496529,0.5019106964187946,0.4236477632264622
pinn,1.0,23.0,0.05,10,15,0.9606108056563002,0.851313846140066,1.1357163423597973
pinn,10.0,23.0,0.05,10,15,3.23987926710055,6.050641414328149,5.460443605342809
pinn,100.0,23.0,0.05,10,15,7.568386152294496,7.644143432978531,7.840017050562513
pinn,1000.0,23.0,0.05,10,15,17.936287848008583,19.32847126228356,20.84544548151389
magi,,23.0,0.05,10,16,0.44746720924299793,1.944743634738669,1.610265730998821
pinn,0.1,23.0,0.05,10,16,0.20696888530740856,0.2275624247054817,0.29541066827725415
pinn,1.0,23.0,0.05,10,16,0.9817958663886975,0.8973423579316496,1.15023921482082
pinn,10.0,23.0,0.05,10,16,1.701533576296612,1.8391716295038283,2.176715150483638
pinn,100.0,23.0,0.05,10,16,6.04477145503206,8.965350755477585,7.7482218887144185
pinn,1000.0,23.0,0.05,10,16,19.910817927536065,24.87029087424375,24.538492441858132
magi,,23.0,0.05,10,17,0.5988910723576863,1.3559279631133805,2.218587442625409
pinn,0.1,23.0,0.05,10,17,0.2540965853681384,0.32249628992813495,0.40079146179469644
pinn,1.0,23.0,0.05,10,17,1.4768805669344616,1.8492998274386723,2.7719918365190765
pinn,10.0,23.0,0.05,10,17,4.997807100569638,6.601680993508692,6.687050570587805
pinn,100.0,23.0,0.05,10,17,9.437113852104014,7.17616643949971,7.573150306430411
pinn,1000.0,23.0,0.05,10,17,20.3018614553174,17.88372821741277,18.30082799636343
magi,,23.0,0.05,10,18,0.34152691835708093,2.30275134365404,2.0422265781666398
pinn,0.1,23.0,0.05,10,18,0.3360433905054057,0.20860137424443104,0.22351690734675192
pinn,1.0,23.0,0.05,10,18,0.9338089931967577,1.3825502381560912,3.0501851088536895
pinn,10.0,23.0,0.05,10,18,1.9000535200428474,4.590758054775933,4.04415309547894
pinn,100.0,23.0,0.05,10,18,9.03387424974231,12.011559533401117,8.053971547046547
pinn,1000.0,23.0,0.05,10,18,19.147117739660125,21.47616532684084,18.352893528062214
magi,,23.0,0.05,10,19,0.4419611196225968,1.6036928603673422,1.8909281091964085
pinn,0.1,23.0,0.05,10,19,0.30457257371502144,0.2052639482135359,0.21562309418669717
pinn,1.0,23.0,0.05,10,19,0.9375388264877335,0.5159584542012244,1.107802487064391
pinn,10.0,23.0,0.05,10,19,7.2828233338439405,11.58839259480367,11.827571137344533
pinn,100.0,23.0,0.05,10,19,5.684788081607593,6.796045453879489,5.854262438973063
pinn,1000.0,23.0,0.05,10,19,16.34788488629512,16.102595096386707,16.22986476298311
magi,,23.0,0.05,10,20,0.6191262084240389,1.543030788592354,2.2494542911639965
pinn,0.1,23.0,0.05,10,20,0.21018258024022735,0.20791428037202322,0.309891123310158
pinn,1.0,23.0,0.05,10,20,1.6589729496634544,1.729695858087655,2.3629238099361083
