model,lmbda,rho,alpha,dobs,seed,betahat,betahat_LB,betahat_UB,betahat_err,rhohat,rhohat_LB,rhohat_UB,rhohat_err,sigmahat,sigmahat_LB,sigmahat_UB,sigmahat_err,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.05,10,31,2.580711283113246,2.4875527596166034,2.6763228158681716,-0.08595538355342036,22.908566999816603,22.584548461192387,23.233979514656724,-0.09143300018339673,9.306985953853486,8.524014429059374,10.151094088024442,-0.693014046146514,0.4729576635921141,0.6061310427330602,0.8274549075532259
magi,,23.0,0.05,10,32,2.6333081556570255,2.5380262109090586,2.7364579115990013,-0.033358511009641045,22.813412141128076,22.473500210514057,23.170434793758247,-0.18658785887192408,8.858879022358908,8.112841533546746,9.67924092309573,-1.1411209776410924,0.4256675278895047,0.4039392155612487,0.5352097414516063
magi,,23.0,0.05,10,33,2.701344301720717,2.6083907456950572,2.799283350108525,0.034677635054050526,22.848518632944717,22.49845973255235,23.201914605287893,-0.1514813670552826,8.851460014565419,8.08961342690607,9.690795289800823,-1.1485399854345815,0.37695123667141056,0.47238817516736276,0.605491893264481
magi,,23.0,0.05,10,34,2.5740459489140965,2.4861903942091548,2.6560790692049454,-0.09262071775256997,23.096491315072747,22.78017310315093,23.400128106962022,0.09649131507274689,9.204421797117813,8.404856721305546,10.076869613899357,-0.7955782028821865,0.39141181336845793,0.5366541607852372,0.7124419572356355
magi,,23.0,0.05,10,35,2.680415679212791,2.585671323195315,2.7748415839105616,0.013749012546124373,23.042642834848422,22.713245255734883,23.371106667191253,0.04264283484842224,8.519780593722874,7.832369880348698,9.319434988160747,-1.4802194062771257,0.35884033008409405,0.5906481654184946,0.6487761157494832
magi,,23.0,0.05,10,36,2.6267945039206775,2.5264308624561465,2.729923490367095,-0.03987216274598904,22.67919558268813,22.319868868382724,23.04700682374046,-0.32080441731186937,8.839893167113432,8.115929990610663,9.65003927084468,-1.1601068328865676,0.40545904329738713,0.4153810699868997,0.5380721384614935
magi,,23.0,0.05,10,37,2.572837135356244,2.4710880304768534,2.677326153832444,-0.09382953131042271,23.079628053545427,22.706716221405806,23.465634563909344,0.07962805354542724,9.287275569647633,8.400337541777926,10.231037015587118,-0.7127244303523668,0.2704391108400478,0.3145875296820232,0.5217285630731884
magi,,23.0,0.05,10,38,2.6481766893246075,2.5521074337947587,2.7460487178462727,-0.01848997734205904,22.869327340021762,22.539471147839414,23.191375178097424,-0.13067265997823796,8.709294929474632,7.968707622448322,9.51053887180287,-1.2907050705253678,0.41763003721303776,0.45224223015753906,0.5097533786520804
magi,,23.0,0.05,10,39,2.6041871404091212,2.4963247007362384,2.71315673510998,-0.06247952625754527,23.04541416775446,22.645089637843586,23.442676202737918,0.04541416775445839,8.258284870318533,7.490776573902596,9.142819381068872,-1.7417151296814666,0.4474835489394716,0.6633778143592131,0.7376111367052212
magi,,23.0,0.05,10,4,2.691306029803606,2.5884128060025513,2.793232189314832,0.024639363136939263,22.932883507044426,22.578141574893827,23.262371625102798,-0.06711649295557365,8.627582023237368,7.849052703164869,9.460276047687314,-1.372417976762632,0.38155369556861163,0.5163081586585597,0.6854243498296335
magi,,23.0,0.05,10,40,2.606387839009838,2.504648387945292,2.709756349113409,-0.06027882765682868,22.70107875752886,22.358733883811226,23.03267966154137,-0.29892124247113827,9.30357360464789,8.409080319314516,10.241331914015257,-0.6964263953521108,0.3402204109996343,0.43666086303947443,0.6032347291234482
magi,,23.0,0.05,10,41,2.5540406256294856,2.4581370232961093,2.649719054211727,-0.11262604103718088,22.853774286454364,22.509235949483262,23.1974334346956,-0.14622571354563618,9.112127425355984,8.295962748340614,9.973747075311335,-0.8878725746440157,0.3663434875786832,0.44635749854278767,0.6024515979241981
magi,,23.0,0.05,10,42,2.6181331891046136,2.523631229972838,2.71630870090669,-0.04853347756205295,23.214795971468877,22.8760409285171,23.552221356905658,0.2147959714688774,8.57616023725544,7.895469349206282,9.290976040798917,-1.42383976274456,0.3907109579647117,0.37897045922343603,0.5474594397911429
magi,,23.0,0.05,10,43,2.644024124068468,2.540972565920287,2.7495556930337144,-0.022642542598198645,22.776687404695206,22.410466591673966,23.1469238280423,-0.22331259530479386,8.99686692824576,8.17417323692033,9.887896148178509,-1.00313307175424,0.3782714660229227,0.49904480274757923,0.6578609912580009
